
  504  662  588  325  702  555  459  297  644  209  166  352  223
  512  994  339  388  642  195  205 1104  339  395  848  649  175
  792  349  298  191  165  461  673  187  201  678  520  562  287
  350  220  565  353  289  624  334  660  372  480  508  632  362
  738  576 1190  242  359  553  387  735  355  373  396  417  462
  231  353  750  983  510  204  903  783  433  536  769  676  784
  222  226  375  278  702  628  428  305  191  325  210  309  384
  440  568  817  507  154  295  660  404  345  720  420  717  378
  612  365  570  549  417  862  436  532  719  547  385  212  773
  155  594  239  427  423  182  319  233  258  398  348  638  265
  298  450  174  406  390  274  335  194  299  362  349  305  151
  472  239  390  452  540  417  332  269  742  455  248  173  556
  509  758  762 1364  232  240  208  328  648  542  718  223  439
  562  477  810  290  602  477  541  201  671  634  471  371  971
  400  542  335  404  122  269  796  378  232  203  526  265 1606
  815  759  470  252  510  607  421  295  986  542  361  466  612
  753  172  214  556  595  284  528  189  350  737  469  644  269
  473  205  447  265  183  283 1177  345  346  338  310  298  450
  407  629  618  551  413  497  770  418  450  179  261  534  209
  427  368  673  549  338  707  513  454  795  511  782  409  607
  696  317  382  212  418  308  380  326  365  340  324  355  873
  275  693  296  515  280  258  551  400  208  634  330  473  528
  241  315  967  601  215  377  249  744  440  382  731  769  140
  613  361  628  290  604  286  517  238  459 1253  810  688  262
  850  678  335  374  325  668  286  372  251  634  208  239  205
  322  510  223  926  489  353  454  542  481  501  442  534  416
  392  208  813  328  671  328  831  281  343  423  450  624  984
  670  419  422  177  572  613  951  325  236  453  293  242  294
  414  546  574  672  415  243  512  505  346  396  404  520  235
  468  841  196  323  692 1701  348  648  198  282  449  190  595
  972  187  915  251  241  243  474  362  428  382  292  525  279
  382  335  675  847  339  646 1080  571  569  684  379  268  652
  399  454  298  139  628  509  402  205  449  313  317  688  685
  530  379  460  376  284  358  491  483  478 1422  156  193  592
  439  503  287  177  477  555  178  792  872  390  765  418  461
  598  424  662  340  229  473 1230  541  489  143  333  710  366
  410  421  331  166  717  309  207  313  444  416  432  646  307
  427  235  489  873  781  685  662  693  882  248 2019  515 1652
 1299  737  309  580  422  423 1816  535  449  463  173  290  199
  620  450  251  954  720  561  608  250  367  552  255 1712  856
  775  453  217  771  901  517  344  596  559  297  325  492  725
 1366  253  331  868  466  606  284  374  519  276  809  234  672
  479  229 1036  482  362  589  401  383  314  590  258  475  404
  372  619  545  389  574  193  273  460  943  247  197  461  444
  217  441  384  481  258  330  314  783  341  367  176  451  323
  686  726  365  209  370  441  277  316  557  908  234  335  143
  655  605  697  446  337  160  606  811  607  321  301  419  427
  545  822  770  526  255  288  245  747  194  268  487  678  533
  623  374  311  187  430  858  484  891  550  492  290  481  270
  767  267  326  819  316  772  405  366  368  685  208  209  574
  825 1250  667  669  774  310  405  472  430  937  815  925  807
  768  209  599  178  459  560  305  909  519  369  582  552  817
  715  963  377  279  961  361  550  652  211  571  292  286 1603
  198  277  195  782  285  408  570  798 1013  215  457  982  761
  575  550 1322  809  330  415  253  390  373  232  657  666 1079
  719  542 1185  274  586  354  183  183  399  559  528  413  469
  433  285  296  519 1010  456 1361  275  524  484  391  676  234
  410  446  679  296  107  754  718  747  397  124  519  948  345
  303  433  477  384  638  821  299  504  455  250  891  542  778
  336  397  392  592  497  875  375  398  297  380  361 1091  253
  741  793  286  305  367  604  358  255  784  466  245  671  405
  475  347  682  306  397  752  924  312  522  226  342  650  234
  455  469  603  290  333  748  352  485  740  334  468  421  231
  362 1023  874  441  190  656  256  378  271  423  434  296  564
  263  551  294  518  498  201  388  263  306  547  300  580  356
  664  661  902 2618  496  609  724  907  760  230  460  714  861
  378  467  162  269 1146  265  774  337  421  427  326  232  742
  274  403  402  743  345  577  453  388  602  204  441  376  532
  262  547  287  406  558  508  297  126  738  544  570  614 1132
  493  500  476  351  426  380  351  624  474  281  421  214  304
  552  664  641  550  597 1134  317  540 1125  207  462  460  356
  216  529  451  223  267  485  723  345  558  251  370  506  471
  189  466 1168  300 1029  583 1240  442  842  865  489 1084  347
  224  711 1076  395  923  457  655  574  633  511  422  597  189
  764 1122  279  526  201  263  283  313  439  646  337  621  363
  313  403  342  280  290  277  231  427  875  279  409  999  378
  699  651  168  323  314  557  842  694  538  183  600  262

