 82  65  91  92  92  87  93  85  88  98  92  86  87  93  93  90  78  85 100  86  93  89
 92  76  82  67  80  96  93  84  87  96  85  85  83  81  92  93  73  91  83  85  98  88
 83  99  90 100  83 100  93  95  98  79  89  95  97  97  79  97  94  97  82  99  93  83
 93  92  88  87  99  97  90  83 100  81 100  97  88  91  77  90  82  75  95  95  71  91
 95  98  94  87  96  84  87  94  87  96  94  97  99  95  95  73  87  83 100  59  99  92
 97  92  57  88  86  69 100  83  94  76  94  98  91  95  90  90  95  96  86  84  52  96
100  84  83  94  82  95  74  90  96  82  95  90 100  85  89  88  87  96  77  74  91  82
 94  91  86  97 100  90  92  93  94  99  93  98  92  90 100  92  76 100  89  86  90  92
 99  83  96  97  88  99  89  65  93  92  65  88  97  76  87  98 100  98  92  81  99  91
 77  99  87  96  90  95  72  60  91  77  49  88 100  86  82  94  87  83  92  99  79  96
 89  68  96  92  91  81  98  81  82  71  88  89  91  81 100  98  86  81  94  94  90  78
 82  98  88  81  84  71  81  87  96  92  99  92  83  89  75  59  87  79  74  83  99  82
 98  96  77 100  84  87 100  95  87  59  98 100  90  87  95 100  96  82  96  94  90 100
 91  83  72  79  83  83  90  88  57  89  84  96  87  86  97  73  90  86  88  68  94  85
 86  98  91  70  97  95  92  95  87  86  75 100  97  83  91  78  92  87  90  87 100  87
 94  93  75  79  78 100  90  92  99  83  98  89  90  90  97  97  96  98  81  92  83  73
 89  82  82  82  87  91  94  95  96  68  99  72  89  83  91  71  85 100  89  95  97  82
 95  92  86  83  93  94  82  60 100  99  70  90  91  96  91  94  95  95  96  96  86  79
 99  89  84  78  98  83  98  89  98  98  95  84  97  97  80  96  97  99  93  76  98  97
 56  92  98  96  85 100  92  81  81  85  79  99  99  83  97  95  91  88  97 100  99  91
 86  83  85  98  92  84 100  97  91  91  99  76  94  96  79  80  73  98  77  87  92  95
 84  92  92  86  99  99  71  99  87  97  77  92  93  85  95  73  87  94  99  57  94  78
 93 100  99  95  83  94  89  95  74  95  92  94  90  80  88  97  92  85  82  79  74  83
 94  95  83  59  99  89  87 100  85  97  99  71 100  99  59  97  85  90  85  93  88  81
 90  98  87  73  97  93  82  77  71  97  90  82  93  93  65  96  82 100  87  98  89  94
 94  97  82  78  82  88  85  86  98  89  82  92 100  74  89  97  96  94  88  96  92  87
 81  93  98  80  94  74  87  86  92  85  91  93  82  99  99  99  97  98 100  92  90  84
 91  97  96  86 100  98  56  95  83  86  93  74  87  94  75  79  99  95  85  94  85 100
 90  76  95  91  83  95  99  97  84  83  88  89  78  63  97  88  86  89  76  98  89  68
 94  92  79  77  85  90  85  98  91  86  95  61  87  89  89  99  97  80  94  98  98  88
 81  91  74  92  95  81  75  98  87  76  84  86  77  91  83  97  90  89  93  67  99  96
 70 100  93  57  94  99  91  86  95 100  91 100  96  98  90  94  76  80  92  99  93  86
 98  93  95  91  76  95  96  86  76  77  95  85  98  84  98 100  89  80  79  98  70  77
 97 100  70  97  98  76  97  79  72  99  89  77  92  87  99  99  94  96  87  91  94  95
 99  70  96  85  93  91  90  96  93  84  79  87  86  92  85  91  80  94 100  99  99  88
