pre,post,subject
52.8,52.2,1
53.1,51.6,1
49.4,48.7,1
45.7,49.4,1
53.5,52.4,1
56.2,50.6,1
49.1,50.2,1
50.5,50.3,1
44.2,49.2,1
51.5,51,1
52.6,51.6,1
47.9,50,1
50.3,49.6,1
51.3,49.4,1
46.7,48.8,1
52.7,50.1,1
48.6,49.1,1
54,51.4,1
51.6,51.3,1
46.7,49.1,1
51.6,52,1
51.1,50.9,1
48.8,50.5,1
49.6,49.4,1
50.8,48.8,1
49.6,49.8,1
54.7,51.9,1
46.7,49.7,1
48.9,49.5,1
47.7,47.5,1
51.6,49.3,1
51.5,50.2,1
54.8,52.1,1
49.9,49.7,1
51,49.4,1
45.7,50.7,1
48.7,50.2,1
50.8,50,1
43.3,47.8,1
46.9,50.7,1
54.2,54.1,1
56.5,51.7,1
46.2,49.4,1
45.8,46.9,1
50.6,48.9,1
43.2,47.2,1
48.8,50.2,1
49,50.4,1
49.1,50.7,1
51.3,50.5,1
50.4,50.9,2
54.4,56.9,2
45.4,42.3,2
51.6,53.6,2
52,53.7,2
47.6,44.8,2
49.3,49.1,2
54.1,55.7,2
42.3,36.2,2
49.1,48.9,2
54.4,57.1,2
46.3,45.3,2
47.3,45.7,2
45.6,43.2,2
47.3,46.3,2
53.1,52.8,2
53.7,56.6,2
51.7,50.1,2
48.8,49.2,2
55.6,58.9,2
48.3,47,2
53.3,55.7,2
49.2,50.3,2
50.2,49.5,2
52.5,54.8,2
49.1,48.8,2
51.3,52.1,2
46.8,44.8,2
56.2,60.3,2
52,52.8,2
46.1,43.6,2
45.9,41.3,2
51.7,53.2,2
50.9,51.3,2
50.7,50.7,2
51,52.4,2
49.3,48.8,2
46.6,44,2
51.5,52.9,2
50.5,52,2
46.7,43.9,2
52.3,54.2,2
53.1,53.4,2
50.3,51,2
52.2,52.1,2
46.2,44,2
49.5,47.5,2
49,48.3,2
46.9,44.4,2
49,49.3,2
