13.0 15.0 16.5 11.5 15.5 15.5 14.0 14.0 14.0 13.5 14.0 13.5 13.5 15.0 16.0 14.5 14.0 13.5 13.5 18.5
15.0 14.0 14.0 15.5 14.0 12.5 15.5 13.5 15.0 13.5 16.5 14.0 13.5 14.0 12.5 13.0 11.5 13.0 14.5 14.0
17.0 13.0 13.5 14.5 13.5 13.5 13.0 13.0 14.0 14.0 12.0 14.0 13.0 13.5 14.5 15.5 17.5 13.5 17.0 13.0
16.0 18.5 14.5 14.0 15.0 17.5 13.0 17.0 17.0 15.5 15.0 14.0 14.5 16.0 18.0 14.5 12.5 13.5 15.0 14.5
14.5 14.5 12.5 14.5 16.0 16.0 15.5 14.0 14.5 13.0 14.5 15.0 17.5 16.5 14.0 15.5 13.0 16.0 16.5 18.0
15.5 14.0 15.0 14.0 13.5 15.0 13.5 15.0 15.5 14.5 14.5 14.0 13.0 16.0 15.0 16.0 13.0 15.0 16.0 15.0
14.5 13.5 18.0 16.0 17.5 15.0 14.0 12.5 14.0 15.0 16.5 15.0 13.0 16.0 12.5 14.5 14.5 12.0 16.0 14.0
14.5 17.0 16.0 14.5 15.5 15.5 17.5 15.0 15.5 15.5 14.0 15.0 17.5 13.5 15.0 17.0 14.5 13.0 13.5 14.0
13.5 14.5 14.0 14.5 15.5 15.5 17.5 14.5 14.5 17.0 17.5 15.0 14.5 12.0 17.0 13.5 13.0 19.5 15.0 15.0
10.5 14.5 16.5 15.5 16.0 18.0 16.5 14.0 16.0 14.5 14.0 10.5 13.5 15.5 18.0 15.5 15.5 13.5 15.0 11.5
15.5 16.0 15.0 16.0 15.5 16.0 17.5 16.5 15.0 13.0 15.5 14.0 17.0 12.5 14.0 15.5 14.5 14.0 14.5 15.5
16.0 16.0 18.0 16.5 15.0 14.0 19.0 16.0 14.0 15.0 14.5 14.5 13.5 15.0 15.5 13.0 10.0 14.5 15.0 15.5
15.0 15.5 13.0 16.0 16.0 15.0 17.0 15.5 15.0 15.0 15.5 16.5 15.5 16.0 13.0 14.0 17.0 13.0 15.0 15.5
16.5 14.5 15.0 12.0 15.5 14.0 14.5 13.0 15.5 16.0 14.5 17.5 16.0 16.0 18.0 14.0 16.0 16.5 15.0 15.5
13.5 15.5 13.5 16.0 13.5 15.5 13.5 14.5 12.5 15.0 16.5 15.0 12.0 14.0 17.5 17.5 13.0 14.0 15.5 15.5
14.0 13.5 14.5 16.5 15.0 14.0 14.0 17.0 14.0 16.0 17.0 15.5 14.0 14.5 14.0 16.5 14.5 17.0 14.0 14.0
15.0 15.0 14.0 12.5 15.0 13.5 16.5 13.5 16.5 14.0 15.0 16.0 14.0 15.5 14.5 13.0 14.5 17.0 14.5 13.5
14.5 15.5 16.0 16.5 15.0 16.5 13.5 11.5 14.0 14.0 11.5 15.5 13.5 14.5 12.5 15.5 17.5 13.5 14.5 17.5
16.0 17.5 15.0 14.5 14.0 17.0 13.0 15.5 14.5 18.0 14.0 12.5 15.0 14.5 13.5 15.0 14.5 14.0 15.5 14.5
12.0 11.0 14.0 17.0 16.0 16.5 16.5 15.5 12.5 15.0 17.0  9.5 13.5 16.5 15.5 16.0 15.5 15.5 15.0 13.5
13.0 15.0 14.0 13.5 15.5 15.0 17.0 13.0 14.0 14.5 12.5 14.5 13.5 11.5 14.5 14.0 16.5 14.0 15.5 15.0
13.0 15.5 14.5 15.0 16.0 15.0 17.0 15.0 13.0 16.0 13.0 12.0 13.5 13.5 14.0 17.0 17.5 16.0 13.0 15.0
15.5 14.5 15.0 13.5 13.0 17.0 15.0 14.0 15.5 18.0 15.5 17.0 17.0 14.0 16.0 14.0 12.5 13.0 14.5 17.5
15.0 13.5 15.0 16.0 13.0 13.0 12.0 13.0 13.5 14.5 17.0 16.0 15.0 14.0 14.5 15.5 14.0 16.5 16.5 13.0
13.5 16.5 12.5 15.5 15.0 19.5 10.5 13.5 16.0 17.5 16.0 12.5 18.0 12.0 13.0 14.5 18.0 15.5 16.0 17.5
16.5 13.0 16.0 14.5 17.5 14.5 12.5 15.5 15.5 15.0 13.0 13.5 15.0 16.5 14.5 13.5 10.5 15.5 15.5 17.0
17.0 14.5 16.5 15.0 14.0 13.5 14.5 15.0 15.0 15.0 15.0 16.0 14.5 17.5 15.5 13.0 14.5 15.5 14.0 15.5
15.5 17.0 14.0 15.0 14.0 13.0 12.0 15.0 15.5 16.0 12.5 13.0 13.0 14.0 15.0 15.5 13.5 10.5 16.0 15.5
13.5 13.0 14.5 15.0 16.0 17.0 13.5 15.0 17.0 13.5 14.5 12.0 15.0 14.0 13.5 13.5 15.5 11.5 14.0 13.5
